device mps | source (2592, 3, 1000, 9) (9 domains) -> target (3680, 3, 1000, 9)
network B7 | train 2052 val 540 | batch 36
  epoch 106/200  loss 0.7338  src-val 81.48%  (best 81.48 @ 103)  3627s
  epoch 107/200  loss 0.7186  src-val 81.48%  (best 81.48 @ 103)  3661s
  epoch 108/200  loss 0.7229  src-val 81.48%  (best 81.48 @ 103)  3695s
  epoch 109/200  loss 0.7133  src-val 81.48%  (best 81.48 @ 103)  3729s
  epoch 110/200  loss 0.7174  src-val 81.48%  (best 81.48 @ 103)  3764s
  epoch 111/200  loss 0.7362  src-val 81.48%  (best 81.48 @ 103)  3798s
  epoch 112/200  loss 0.7246  src-val 81.48%  (best 81.48 @ 103)  3832s
  epoch 113/200  loss 0.7308  src-val 81.48%  (best 81.48 @ 103)  3867s
  epoch 114/200  loss 0.7362  src-val 81.48%  (best 81.48 @ 103)  3901s
  epoch 115/200  loss 0.7290  src-val 81.30%  (best 81.48 @ 103)  3935s
  epoch 116/200  loss 0.7108  src-val 81.30%  (best 81.48 @ 103)  3969s
  epoch 117/200  loss 0.7293  src-val 81.30%  (best 81.48 @ 103)  4003s
  epoch 118/200  loss 0.7199  src-val 81.30%  (best 81.48 @ 103)  4037s
  epoch 119/200  loss 0.7105  src-val 81.48%  (best 81.48 @ 103)  4071s
  epoch 120/200  loss 0.7068  src-val 81.30%  (best 81.48 @ 103)  4105s
  epoch 121/200  loss 0.7060  src-val 81.30%  (best 81.48 @ 103)  4139s
  epoch 122/200  loss 0.7106  src-val 81.30%  (best 81.48 @ 103)  4172s
  epoch 123/200  loss 0.7099  src-val 81.11%  (best 81.48 @ 103)  4206s
  epoch 124/200  loss 0.7124  src-val 81.11%  (best 81.48 @ 103)  4240s
  epoch 125/200  loss 0.7367  src-val 81.30%  (best 81.48 @ 103)  4274s
  epoch 126/200  loss 0.7324  src-val 81.11%  (best 81.48 @ 103)  4308s
  epoch 127/200  loss 0.7567  src-val 81.11%  (best 81.48 @ 103)  4341s
  epoch 128/200  loss 0.7218  src-val 80.93%  (best 81.48 @ 103)  4375s
  epoch 129/200  loss 0.7123  src-val 81.11%  (best 81.48 @ 103)  4409s
  epoch 130/200  loss 0.7113  src-val 81.11%  (best 81.48 @ 103)  4443s
