device mps | source (2592, 17, 1000, 9) (9 domains) -> target (3680, 17, 1000, 9)
network B7 | train 2052 val 540 | batch 36
  epoch 139/200  loss 0.5517  src-val 90.74%  (best 90.74 @ 103)  6205s
  epoch 140/200  loss 0.5580  src-val 90.74%  (best 90.74 @ 103)  6248s
  epoch 141/200  loss 0.5520  src-val 90.74%  (best 90.74 @ 103)  6290s
  epoch 142/200  loss 0.5668  src-val 90.74%  (best 90.74 @ 103)  6333s
  epoch 143/200  loss 0.5497  src-val 90.74%  (best 90.74 @ 103)  6377s
  epoch 144/200  loss 0.5544  src-val 90.74%  (best 90.74 @ 103)  6419s
  epoch 145/200  loss 0.5474  src-val 90.74%  (best 90.74 @ 103)  6462s
  epoch 146/200  loss 0.5483  src-val 90.74%  (best 90.74 @ 103)  6505s
  epoch 147/200  loss 0.5545  src-val 90.74%  (best 90.74 @ 103)  6547s
  epoch 148/200  loss 0.5605  src-val 90.74%  (best 90.74 @ 103)  6590s
  epoch 149/200  loss 0.5591  src-val 90.74%  (best 90.74 @ 103)  6633s
  epoch 150/200  loss 0.5579  src-val 90.74%  (best 90.74 @ 103)  6676s
  epoch 151/200  loss 0.5535  src-val 90.74%  (best 90.74 @ 103)  6720s
  epoch 152/200  loss 0.5434  src-val 90.74%  (best 90.74 @ 103)  6762s
  epoch 153/200  loss 0.5459  src-val 90.74%  (best 90.74 @ 103)  6805s
  epoch 154/200  loss 0.5641  src-val 90.93%  (best 90.93 @ 154)  6849s
  epoch 155/200  loss 0.5419  src-val 90.93%  (best 90.93 @ 154)  6892s
  epoch 156/200  loss 0.5483  src-val 90.93%  (best 90.93 @ 154)  6935s
  epoch 157/200  loss 0.5455  src-val 90.93%  (best 90.93 @ 154)  6978s
  epoch 158/200  loss 0.5485  src-val 90.93%  (best 90.93 @ 154)  7021s
  epoch 159/200  loss 0.5448  src-val 91.11%  (best 91.11 @ 159)  7064s
  epoch 160/200  loss 0.5525  src-val 91.11%  (best 91.11 @ 159)  7106s
  epoch 161/200  loss 0.5416  src-val 91.11%  (best 91.11 @ 159)  7149s
  epoch 162/200  loss 0.5405  src-val 90.93%  (best 91.11 @ 159)  7192s
  epoch 163/200  loss 0.5508  src-val 90.93%  (best 91.11 @ 159)  7235s
  epoch 164/200  loss 0.5487  src-val 90.93%  (best 91.11 @ 159)  7277s
  epoch 165/200  loss 0.5350  src-val 90.93%  (best 91.11 @ 159)  7320s
  epoch 166/200  loss 0.5502  src-val 90.93%  (best 91.11 @ 159)  7364s
  epoch 167/200  loss 0.5515  src-val 90.93%  (best 91.11 @ 159)  7407s
  epoch 168/200  loss 0.5415  src-val 90.93%  (best 91.11 @ 159)  7452s
  epoch 169/200  loss 0.5403  src-val 90.93%  (best 91.11 @ 159)  7500s
  epoch 170/200  loss 0.5477  src-val 90.93%  (best 91.11 @ 159)  7548s
  epoch 171/200  loss 0.5473  src-val 90.93%  (best 91.11 @ 159)  7596s
  epoch 172/200  loss 0.5582  src-val 90.93%  (best 91.11 @ 159)  7644s
  epoch 173/200  loss 0.5431  src-val 90.93%  (best 91.11 @ 159)  7691s
  epoch 174/200  loss 0.5425  src-val 90.93%  (best 91.11 @ 159)  7740s
  epoch 175/200  loss 0.5394  src-val 90.93%  (best 91.11 @ 159)  7787s
  epoch 176/200  loss 0.5437  src-val 91.11%  (best 91.11 @ 159)  7835s
  epoch 177/200  loss 0.5479  src-val 91.11%  (best 91.11 @ 159)  7882s
  epoch 178/200  loss 0.5485  src-val 91.11%  (best 91.11 @ 159)  7930s
  epoch 179/200  loss 0.5503  src-val 91.11%  (best 91.11 @ 159)  7976s
  epoch 180/200  loss 0.5442  src-val 91.30%  (best 91.30 @ 180)  8020s
  epoch 181/200  loss 0.5377  src-val 91.30%  (best 91.30 @ 180)  8064s
  epoch 182/200  loss 0.5373  src-val 91.30%  (best 91.30 @ 180)  8107s
  epoch 183/200  loss 0.5570  src-val 91.30%  (best 91.30 @ 180)  8151s
  epoch 184/200  loss 0.5555  src-val 91.30%  (best 91.30 @ 180)  8194s
  epoch 185/200  loss 0.5502  src-val 91.30%  (best 91.30 @ 180)  8238s
  epoch 186/200  loss 0.5369  src-val 91.30%  (best 91.30 @ 180)  8282s
  epoch 187/200  loss 0.5531  src-val 91.30%  (best 91.30 @ 180)  8326s
  epoch 188/200  loss 0.5703  src-val 91.30%  (best 91.30 @ 180)  8369s
  epoch 189/200  loss 0.5450  src-val 91.30%  (best 91.30 @ 180)  8413s
  epoch 190/200  loss 0.5361  src-val 91.48%  (best 91.48 @ 190)  8458s
  epoch 191/200  loss 0.5386  src-val 91.30%  (best 91.48 @ 190)  8501s
  epoch 192/200  loss 0.5400  src-val 91.30%  (best 91.48 @ 190)  8545s
  epoch 193/200  loss 0.5359  src-val 91.30%  (best 91.48 @ 190)  8589s
  epoch 194/200  loss 0.5473  src-val 91.30%  (best 91.48 @ 190)  8632s
  epoch 195/200  loss 0.5419  src-val 91.30%  (best 91.48 @ 190)  8675s
  epoch 196/200  loss 0.5442  src-val 91.30%  (best 91.48 @ 190)  8721s
  epoch 197/200  loss 0.5470  src-val 91.30%  (best 91.48 @ 190)  8767s
  epoch 198/200  loss 0.5420  src-val 91.30%  (best 91.48 @ 190)  8813s
  epoch 199/200  loss 0.5374  src-val 91.30%  (best 91.48 @ 190)  8859s
  epoch 200/200  loss 0.5460  src-val 91.48%  (best 91.48 @ 190)  8905s

--> B7: source-val 91.48%  |  TARGET 2b 63.51%  (148.5 min)
    B01 56.50  B02 58.75  B03 59.50  B04 76.90  B05 63.33  B06 65.25  B07 61.50  B08 68.86  B09 61.00
